Player	ML Team	Pos	OS Team	Fantrax URL	Lastest Round to Draft
Starling Marte	MIA/OAK	CF,OF	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=01s9k	1
Dylan Bundy	LAA	SP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=0269b	1
Marcus Stroman	NYM	SP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=02hg4	2
Michael Brantley	HOU	OF	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=01cil	2
Jake Cronenworth	SD	1B,2B,SS	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=03qmh	3
Devin Williams	MIL	RP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=0311c	3
Drew Smyly	ATL	SP,RP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=025ej	4
Archie Bradley	PHI	RP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=0260z	4
Raimel Tapia	COL	OF	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=032pz	5
Jon Gray	COL	SP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=02bxv	5
Paul DeJong	STL	SS	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=03qkh	6
Matt Chapman	OAK	3B	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=03d6s	7
Carlos Santana	KC	1B	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=01cfr	7
Michael Wacha	TB	SP,RP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=02iug	8
Matt Barnes	BOS	RP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=0260w	9
Myles Straw	HOU/CLE	CF,OF	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=03qqb	10
Nick Pivetta	BOS	SP,RP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=0316j	10
Tom Murphy	SEA	C	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=02t8m	11
Avisail Garcia	MIL	CF,OF	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=01urw	12
Emmanuel Clase	CLE	RP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=04ug5	17
Justin Dunn	SEA	SP	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=041m4	17
Matt Carpenter	STL	1B,2B,3B	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=021at	17
Daulton Varsho	ARI	C,CF,OF	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=04efa	24
Cristian Pache	ATL	CF,OF	Baseball Furies	https://www.fantrax.com/newui/playerProfile.go?pId=03xlc	24
Max Scherzer	WSH/LAD	SP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=004ee	1
Freddie Freeman	ATL	1B	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=01cgo	1
Manny Machado	SD	3B	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=01svq	1
Frankie Montas	OAK	SP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=02yg3	2
Jose Altuve	HOU	2B	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=024m0	2
Eduardo Rodriguez	BOS	SP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=029si	3
Gary Sanchez	NYY	C	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=01t9q	3
Jorge Polanco	MIN	2B,SS	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=02yd1	4
Jose Berrios	MIN/TOR	SP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=02mwk	5
Sean Manaea	OAK	SP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=02x0f	5
Tyler Glasnow	TB	SP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=02btx	6
German Marquez	COL	SP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03amq	7
C.J. Cron	COL	1B	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=02bq4	9
Tyler O'Neill	STL	OF	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=02yk4	10
Brandon Lowe	TB	2B,OF	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03qjy	10
Giovanny Gallegos	STL	RP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03mul	11
Nick Anderson	TB	RP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=04sxl	12
Mark Canha	OAK	CF,OF	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=025eo	17
Tyler Stephenson	CIN	C,1B	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03pix	24
Michael Kopech	CHW	SP,RP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03d6v	24
Nick Madrigal	CHW	2B	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03qu7	24
Jake Cousins	MIL	SP,RP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=04eru	24
Taylor Walls	TB	SS	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=04bpj	24
Brusdar Graterol	LAD	RP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03zbj	24
Ryan Weathers	SD	SP,RP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=04mnw	24
Jovani Moran	MIN	SP,RP	Big Inning Corn Kings	https://www.fantrax.com/newui/playerProfile.go?pId=03qmm	24
