Name	OS Team	ML Team	Birth Year	Rookie Year	Baseball Reference URL
Drew Waters	The Wonder Bats	Atlanta Braves	1998		https://www.baseball-reference.com/register/player.fcgi?id=waters002dre
Travis Swaggerty	The Wonder Bats	Pittsburgh Pirates	1997		https://www.baseball-reference.com/register/player.fcgi?id=swagge000tra
Forrest Whitley	The Wonder Bats	Houston Astros	1997		https://www.baseball-reference.com/register/player.fcgi?id=whitle000for
Adley Rutschman	The Wonder Bats	Baltimore Orioles	1998		https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl
JJ Bleday	The Wonder Bats	Miami Marlins	1997		https://www.baseball-reference.com/register/player.fcgi?id=bleday000jef
Shane Baz	The Wonder Bats	Tampa Bay Rays	1999		https://www.baseball-reference.com/register/player.fcgi?id=baz---000sha
Max Meyer	The Wonder Bats	Miami Marlins	1999		https://www.baseball-reference.com/register/player.fcgi?id=meyer-000max
Dillon Dingler	The Wonder Bats	Detroit Tigers	1998		https://www.baseball-reference.com/register/player.fcgi?id=dingle000dil
Michael Busch	The Wonder Bats	Los Angeles Dodgers	1997		https://www.baseball-reference.com/register/player.fcgi?id=busch-002mic
Casey Mize	Clement St. Massive	Detroit Tigers	1997	2021	https://www.baseball-reference.com/register/player.fcgi?id=mize--000cas
Jarred Kelenic	Clement St. Massive	Seattle Mariners	1999	2021	https://www.baseball-reference.com/register/player.fcgi?id=keleni000jar
Estevan Florial	Clement St. Massive	New York Yankees	1997		https://www.baseball-reference.com/register/player.fcgi?id=floria000est
Deivi Garcia	Clement St. Massive	New York Yankees	1999		https://www.baseball-reference.com/register/player.fcgi?id=garcia000dei
Logan Gilbert	Clement St. Massive	Seattle Mariners	1997	2021	https://www.baseball-reference.com/register/player.fcgi?id=gilber000log
Ke'Bryan Hayes	Clement St. Massive	Pittsburgh Pirates	1997	2021	https://www.baseball-reference.com/register/player.fcgi?id=hayes-000keb
Grayson Rodriguez	Clement St. Massive	Baltimore Orioles	1999		https://www.baseball-reference.com/register/player.fcgi?id=rodrig000gra
Robert Hassell III	Clement St. Massive	San Diego Padres	2001		https://www.baseball-reference.com/register/player.fcgi?id=hassel002rob
Tyler Soderstrom	Clement St. Massive	Oakland Athletics	2001		https://www.baseball-reference.com/register/player.fcgi?id=soders000tyl
ROANSY CONTRERAS	Clement St. Massive	Pittsburgh Pirates	1999		https://www.baseball-reference.com/players/c/contrro01.shtml
Seth Beer	Baseball Furies	Arizona Diamondbacks	1996		https://www.baseball-reference.com/register/player.fcgi?id=beer--000set
Nick Gordon	Baseball Furies	Minnesota Twins	1995	2021	https://www.baseball-reference.com/register/player.fcgi?id=gordon000nic
Bobby Bradley	Baseball Furies	Cleveland Indians	1996	2021	https://www.baseball-reference.com/register/player.fcgi?id=bradle000bob
Jose Barrero	Baseball Furies	Cincinnati Reds	1998	2021	https://www.baseball-reference.com/players/g/garcijo02.shtml
Ivan Herrera	Baseball Furies	St. Louis Cardinals	2000		https://www.baseball-reference.com/register/player.fcgi?id=herrer002iva
Garrett Mitchell	Baseball Furies	Milwaukee Brewers	1998		https://www.baseball-reference.com/register/player.fcgi?id=mitche005gar
Ethan Hankins	Ken Phelps All Stars	Cleveland Indians	2000		https://www.baseball-reference.com/register/player.fcgi?id=hankin000eth
Monte Harrison	Ken Phelps All Stars	Miami Marlins	1995	2021	https://www.baseball-reference.com/register/player.fcgi?id=harris000mon
Jazz Chisholm	Ken Phelps All Stars	Miami Marlins	1998	2021	https://www.baseball-reference.com/register/player.fcgi?id=chisho000jas
Nolan Jones	Ken Phelps All Stars	Cleveland Indians	1998		https://www.baseball-reference.com/register/player.fcgi?id=jones-000nol
DL Hall	Ken Phelps All Stars	Baltimore Orioles	1998		https://www.baseball-reference.com/register/player.fcgi?id=hall--000dl-
Josh Jung	Ken Phelps All Stars	Texas Rangers	1998		https://www.baseball-reference.com/register/player.fcgi?id=jung--000jos
Nick Gonzales	Ken Phelps All Stars	Pittsburgh Pirates	1999		https://www.baseball-reference.com/register/player.fcgi?id=gonzal004nic
Daniel Espino	Ken Phelps All Stars	Cleveland Indians	2001		https://www.baseball-reference.com/register/player.fcgi?id=espino003dan
Yusniel Diaz	Sticky Pitches	Baltimore Orioles	1996		https://www.baseball-reference.com/register/player.fcgi?id=efrain000yun
Jorge Mateo	Sticky Pitches	Baltimore Orioles	1995	2020	https://www.baseball-reference.com/register/player.fcgi?id=mateo-000jor
Jesus Sanchez	Sticky Pitches	Miami Marlins	1997	2021	https://www.baseball-reference.com/register/player.fcgi?id=sanche007jes
Nate Pearson	Sticky Pitches	Toronto Blue Jays	1996	2021	https://www.baseball-reference.com/register/player.fcgi?id=pearso000nat
Josiah Gray	Sticky Pitches	Washington Nationals	1997	2021	https://www.baseball-reference.com/register/player.fcgi?id=gray--004jos
Corbin Carroll	Sticky Pitches	Arizona Diamondbacks	2000		https://www.baseball-reference.com/register/player.fcgi?id=carrol000cor
Josh Lowe	Sticky Pitches	Tampa Bay Rays	1998		https://www.baseball-reference.com/players/l/lowejo01.shtml
Brayan Rocchio	Sticky Pitches	Cleveland Indians	2001		https://www.baseball-reference.com/register/player.fcgi?id=rocchi000bra
Hunter Greene	Tom Henke-Pankies	Cincinnati Reds	1999		https://www.baseball-reference.com/register/player.fcgi?id=greene000hun
Marco Luciano	Tom Henke-Pankies	San Francisco Giants	2001		https://www.baseball-reference.com/register/player.fcgi?id=lucian000mar
Anderson Espinoza	Tom Henke-Pankies	Chicago Cubs	1998		https://www.baseball-reference.com/register/player.fcgi?id=espino005and
Brendan McKay	Tom Henke-Pankies	Tampa Bay Rays	1995		https://www.baseball-reference.com/register/player.fcgi?id=mckay-000bre
Bobby Witt Jr	Tom Henke-Pankies	Kansas City Royals	2000		https://www.baseball-reference.com/register/player.fcgi?id=witt--005rob
Riley Greene	Tom Henke-Pankies	Detroit Tigers	2000		https://www.baseball-reference.com/register/player.fcgi?id=greene000ril
Robert Puason	Tom Henke-Pankies	Oakland Athletics	2002		https://www.baseball-reference.com/register/player.fcgi?id=puason000rob
Noelvi Marte	Tom Henke-Pankies	Seattle Mariners	2001		https://www.baseball-reference.com/register/player.fcgi?id=marte-000noe
Gabriel Moreno	Tom Henke-Pankies	Toronto Blue Jays	2000		https://www.baseball-reference.com/register/player.fcgi?id=moreno000gab
Diego Cartaya	Tom Henke-Pankies	Los Angeles Dodgers	2001		https://www.baseball-reference.com/register/player.fcgi?id=cartay000die
Wander Franco	Gloomtown Shockers	Tampa Bay Rays	2001	2021	https://www.baseball-reference.com/register/player.fcgi?id=franco002wan
Nolan Gorman	Gloomtown Shockers	St. Louis Cardinals	2000		https://www.baseball-reference.com/register/player.fcgi?id=gorman000nol
Jasson Dominguez	Gloomtown Shockers	New York Yankees	2003		https://www.baseball-reference.com/register/player.fcgi?id=doming002jas
